Equipamento utilizado para acessar a Internet;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas);;;;;;Equipamento utilizado para acessar a Internet;Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%);;;;;;;;;;;
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;;;;;
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;;;;
;5897.03;4716.39;3406.935;100;80;57.8;;;;;;;;;;;Paraná;;
;2065.537;1714.483;1285.645;100;83;62.2;;;;;;;;;;;Região Metropolitana de Curitiba;;
;3767.691;3144.979;2330.972;100;83.5;61.9;;;;;;;;;;;Santa Catarina;;
;6094.251;4663.377;3324.71;100;76.5;54.6;;;;;;;;;;;Rio Grande do Sul;;
;2610.59;1975.07;1442.735;100;75.7;55.3;;;;;;;;;;;Região Metropolitana de Porto Alegre;;
;8530.74;6065.841;4913.032;100;71.1;57.6;;;;;;;;;;;Centro-Oeste;;
;1455.931;972.539;809.059;100;66.8;55.6;;;;;;;;;;;Mato Grosso do Sul;;
;1526.026;1040.85;881.461;100;68.2;57.8;;;;;;;;;;;Mato Grosso;;
;3541.957;2372.758;1929.666;100;67;54.5;;;;;;;;;;;Goiás;;
;2006.826;1679.694;1292.846;100;83.7;64.4;;;;;;;;;;;Distrito Federal;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;
;;;;;;;;;;;;;;;;;;;
;Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses;;;;;;;;;;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;
;Valores absolutos (1000 pessoas);;;Valores relativos (%);;;;;;;;;;;;;;;
;Total;Telefone móvel celular;;Total;Telefone móvel celular;;;;;;;;;;;;;;
;;Total;Somente telefone móvel celular;;Total;Somente telefone móvel celular;;;;;;;;;;;;;
;102083.09;89634.42;27003.38;100;87.8;26.5;;;;;;;;;;;;Brasil;
;6715.311;6122.785;3056.665;100;91.2;45.5;;;;;;;;;;;;Norte;
;710.57;599.268;207.241;100;84.3;29.2;;;;;;;;;;;;Rondônia;
;285.382;261.205;129.466;100;91.5;45.4;;;;;;;;;;;;Acre;
;1596.758;1492.919;739.778;100;93.5;46.3;;;;;;;;;;;;Amazonas;
;268.027;250.88;119.454;100;93.6;44.6;;;;;;;;;;;;Roraima;
;2962.659;2707.375;1546.109;100;91.4;52.2;;;;;;;;;;;;Pará;
;1227.217;1140.94;602.129;100;93;49.1;;;;;;;;;;;;Região Metropolitana de Belém;
;334.728;321.069;142.413;100;95.9;42.5;;;;;;;;;;;;Amapá;
;557.187;490.069;172.204;100;88;30.9;;;;;;;;;;;;Tocantins;
;21831.084;19314.841;7639.732;100;88.5;35;;;;;;;;;;;;Nordeste;
;1940.697;1773.076;963.588;100;91.4;49.7;;;;;;;;;;;;Maranhão;
;1061;948.989;457.037;100;89.4;43.1;;;;;;;;;;;;Piauí;
;3331.027;2897.594;1154.703;100;87;34.7;;;;;;;;;;;;Ceará;
;1950.387;1759.652;653.199;100;90.2;33.5;;;;;;;;;;;;Região Metropolitana de Fortaleza;
;1570.481;1369.849;509.357;100;87.2;32.4;;;;;;;;;;;;Rio Grande do Norte;
;1738.3;1537.26;588.283;100;88.4;33.8;;;;;;;;;;;;Paraíba;
;3710.885;3273.181;1074.562;100;88.2;29;;;;;;;;;;;;Pernambuco;
;2080;1896.926;569.898;100;91.2;27.4;;;;;;;;;;;;Região Metropolitana de Recife;
;1175.405;1035.087;381.312;100;88.1;32.4;;;;;;;;;;;;Alagoas;
;982.846;939.584;417.923;100;95.6;42.5;;;;;;;;;;;;Sergipe;
;6320.443;5540.221;2092.967;100;87.7;33.1;;;;;;;;;;;;Bahia;
;2468.34;2265.754;685.366;100;91.8;27.8;;;;;;;;;;;;Região Metropolitana de Salvador;
;49246.983;43185.283;10765.672;100;87.7;21.9;;;;;;;;;;;;Sudeste;
;10332.092;8752.947;2580.934;100;84.7;25;;;;;;;;;;;;Minas Gerais;
;3175.428;2806.501;743.605;100;88.4;23.4;;;;;;;;;;;;Região Metropolitana de Belo Horizonte;
;2004.128;1774.463;474.347;100;88.5;23.7;;;;;;;;;;;;Espírito Santo;
;9707.466;8704.424;2147.809;100;89.7;22.1;;;;;;;;;;;;Rio de Janeiro;
;7529.582;6821.217;1612.376;100;90.6;21.4;;;;;;;;;;;;Região Metropolitana do Rio de Janeiro;
;27203.297;23953.449;5562.582;100;88.1;20.4;;;;;;;;;;;;São Paulo;
;13592.382;12113.931;2606.44;100;89.1;19.2;;;;;;;;;;;;Região Metropolitana de São Paulo;
;15758.972;13221.681;3136.474;100;83.9;19.9;;;;;;;;;;;;Sul;
;5897.03;4984.711;1148;100;84.5;19.5;;;;;;;;;;;;Paraná;
